,index,Result_id,Transaction_type,Bedroom,Bathroom,Property_type,Price,Location,Agent,Listing_url,postcode,Borough,Date
0,0,listing_64729871,Sale,2,2,2 bed flat for sale,"£290,000","Kensington Court, Romford RM1",Bairstow Eves - Collier Row,https://www.zoopla.co.uk/for-sale/details/64729871/?search_identifier=7d6317af3489485d108a641f59f587539291e2cf86ac4d36d89672c9dbcc662b,RM1,Havering,2023-05-28
1,1,listing_64715887,Sale,3,1,3 bed end terrace house for sale,"£290,000","Havering Road, Rise Park, Romford RM1","Accord Sales & Lettings, Romford",https://www.zoopla.co.uk/for-sale/details/64715887/?search_identifier=7d6317af3489485d108a641f59f587539291e2cf86ac4d36d89672c9dbcc662b,RM1,Havering,2023-05-28
2,2,listing_64712366,Sale,3,1,3 bed semi-detached house for sale,"£290,000","Havering Road, Rise Park, Romford RM1","Accord Sales & Lettings, Romford",https://www.zoopla.co.uk/for-sale/details/64712366/?search_identifier=7d6317af3489485d108a641f59f587539291e2cf86ac4d36d89672c9dbcc662b,RM1,Havering,2023-05-28
3,3,listing_64712229,Sale,2,1,2 bed flat for sale,"£290,000","Queens Moat House, St. Edwards Way, Romford RM1",Chalk Street Estates,https://www.zoopla.co.uk/for-sale/details/64712229/?search_identifier=7d6317af3489485d108a641f59f587539291e2cf86ac4d36d89672c9dbcc662b,RM1,Havering,2023-05-28
4,4,listing_59456063,Sale,2,2,2 bed maisonette for sale,"£290,000","Hyde Close, Romford RM1",Balgores Romford,https://www.zoopla.co.uk/for-sale/details/59456063/?search_identifier=7d6317af3489485d108a641f59f587539291e2cf86ac4d36d89672c9dbcc662b,RM1,Havering,2023-05-28
5,5,listing_64691842,Sale,2,1,2 bed bungalow for sale,"£290,000","Heather Gardens, Romford RM1",Beresfords - Gidea Park,https://www.zoopla.co.uk/for-sale/details/64691842/?search_identifier=7d6317af3489485d108a641f59f587539291e2cf86ac4d36d89672c9dbcc662b,RM1,Havering,2023-05-28
6,6,listing_64688573,Sale,3,1,3 bed terraced house for sale,"£290,000","Dorset Avenue, Romford RM1",Beresfords - Gidea Park,https://www.zoopla.co.uk/for-sale/details/64688573/?search_identifier=7d6317af3489485d108a641f59f587539291e2cf86ac4d36d89672c9dbcc662b,RM1,Havering,2023-05-28
7,7,listing_64684539,Sale,3,2,3 bed town house for sale,"£290,000","Sims Close, Romford, Essex RM1",Brian Thomas,https://www.zoopla.co.uk/for-sale/details/64684539/?search_identifier=7d6317af3489485d108a641f59f587539291e2cf86ac4d36d89672c9dbcc662b,RM1,Havering,2023-05-28
8,8,listing_62790997,Sale,4,2,4 bed semi-detached house for sale,"£290,000","The Chase, Romford RM1",Balgores Romford,https://www.zoopla.co.uk/for-sale/details/62790997/?search_identifier=7d6317af3489485d108a641f59f587539291e2cf86ac4d36d89672c9dbcc662b,RM1,Havering,2023-05-28
9,9,listing_64680728,Sale,3,1,3 bed semi-detached house for sale,"£290,000","Park End Road, Romford RM1",Beresfords - Gidea Park,https://www.zoopla.co.uk/for-sale/details/64680728/?search_identifier=7d6317af3489485d108a641f59f587539291e2cf86ac4d36d89672c9dbcc662b,RM1,Havering,2023-05-28
