,index,Result_id,Transaction_type,Bedroom,Bathroom,Property_type,Price,Location,Agent,Listing_url,postcode,Borough,Date
0,0,listing_64731419,Sale,1,1,1 bed flat for sale,"£350,000","Thomas Jacomb Place, London E17",Central Estate Agents,https://www.zoopla.co.uk/for-sale/details/64731419/?search_identifier=c175263550d831fe20b2554d5cd417d4c0de3a00fbfb0f44b336787f96d1065f,E17,Waltham Forest,2023-05-28
1,1,listing_64729614,Sale,2,1,2 bed flat for sale,"£350,000","Manston Court, 2 Thornbury Way, London E17",Urban Moves,https://www.zoopla.co.uk/for-sale/details/64729614/?search_identifier=c175263550d831fe20b2554d5cd417d4c0de3a00fbfb0f44b336787f96d1065f,E17,Waltham Forest,2023-05-28
2,2,listing_64726562,Sale,2,1,2 bed flat for sale,"£350,000","Wetherden Street, London E17",Kings Group - Walthamstow,https://www.zoopla.co.uk/for-sale/details/64726562/?search_identifier=c175263550d831fe20b2554d5cd417d4c0de3a00fbfb0f44b336787f96d1065f,E17,Waltham Forest,2023-05-28
3,3,listing_64724434,Sale,4,2,4 bed terraced house for sale,"£350,000","Ringwood Road, Walthamstow E17",Filey Properties,https://www.zoopla.co.uk/for-sale/details/64724434/?search_identifier=c175263550d831fe20b2554d5cd417d4c0de3a00fbfb0f44b336787f96d1065f,E17,Waltham Forest,2023-05-28
4,4,listing_64723745,Sale,5,2,5 bed terraced house for sale,"£350,000","Cromwell Road, London E17",The Stow Brothers - E17,https://www.zoopla.co.uk/for-sale/details/64723745/?search_identifier=c175263550d831fe20b2554d5cd417d4c0de3a00fbfb0f44b336787f96d1065f,E17,Waltham Forest,2023-05-28
5,5,listing_64722875,Sale,3,1,3 bed terraced house for sale,"£350,000","Coleridge Road, London E17",The Stow Brothers - E17,https://www.zoopla.co.uk/for-sale/details/64722875/?search_identifier=c175263550d831fe20b2554d5cd417d4c0de3a00fbfb0f44b336787f96d1065f,E17,Waltham Forest,2023-05-28
6,6,listing_64721346,Sale,2,1,2 bed flat for sale,"£350,000","Albert Road, Walthamstow, London E17",Estates East,https://www.zoopla.co.uk/for-sale/details/64721346/?search_identifier=c175263550d831fe20b2554d5cd417d4c0de3a00fbfb0f44b336787f96d1065f,E17,Waltham Forest,2023-05-28
7,7,listing_64720363,Sale,3,1,3 bed end terrace house for sale,"£350,000","Carnanton Road, Walthamstow, London E17",Central Estate Agents,https://www.zoopla.co.uk/for-sale/details/64720363/?search_identifier=c175263550d831fe20b2554d5cd417d4c0de3a00fbfb0f44b336787f96d1065f,E17,Waltham Forest,2023-05-28
8,8,listing_64719866,Sale,1,1,1 bed maisonette for sale,"£350,000","Edward Road, London E17",The Stow Brothers - E17,https://www.zoopla.co.uk/for-sale/details/64719866/?search_identifier=c175263550d831fe20b2554d5cd417d4c0de3a00fbfb0f44b336787f96d1065f,E17,Waltham Forest,2023-05-28
9,9,listing_64715993,Sale,1,1,1 bed flat for sale,"£350,000","Violet Road, London E17",The Stow Brothers - E17,https://www.zoopla.co.uk/for-sale/details/64715993/?search_identifier=c175263550d831fe20b2554d5cd417d4c0de3a00fbfb0f44b336787f96d1065f,E17,Waltham Forest,2023-05-28
10,10,listing_64715621,Sale,1,1,1 bed flat for sale,"£350,000","Lea Bridge Road, London E17",Bairstow Eves - Walthamstow Sales,https://www.zoopla.co.uk/for-sale/details/64715621/?search_identifier=c175263550d831fe20b2554d5cd417d4c0de3a00fbfb0f44b336787f96d1065f,E17,Waltham Forest,2023-05-28
11,11,listing_64712421,Sale,3,2,3 bed terraced house for sale,"£350,000","Lancaster Road, London E17",The Stow Brothers - E17,https://www.zoopla.co.uk/for-sale/details/64712421/?search_identifier=c175263550d831fe20b2554d5cd417d4c0de3a00fbfb0f44b336787f96d1065f,E17,Waltham Forest,2023-05-28
12,12,listing_64712181,Sale,1,1,1 bed flat for sale,"£350,000","De Vere Court, Hoe Street, Walthamstow, London E17",LiFE Residential - North London,https://www.zoopla.co.uk/for-sale/details/64712181/?search_identifier=c175263550d831fe20b2554d5cd417d4c0de3a00fbfb0f44b336787f96d1065f,E17,Waltham Forest,2023-05-28
