,index,Result_id,Transaction_type,Bedroom,Bathroom,Property_type,Price,Location,Agent,Listing_url,postcode,Borough,Date
0,0,listing_64731232,Sale,3,1,3 bed semi-detached house for sale,"£700,000","College Drive, Ruislip HA4",Duncan Perry Estate Agents,https://www.zoopla.co.uk/for-sale/details/64731232/?search_identifier=debab105955e7c668e7c9ba2fda9102b95760db5ce94a4ac5764aa4acaf4180e,HA4,Hillingdon,2023-05-28
1,1,listing_64731001,Sale,2,1,2 bed block of flats for sale,"£700,000","Greystoke Drive, Ruislip HA4",Coopers Residential - Ruislip,https://www.zoopla.co.uk/for-sale/details/64731001/?search_identifier=debab105955e7c668e7c9ba2fda9102b95760db5ce94a4ac5764aa4acaf4180e,HA4,Hillingdon,2023-05-28
2,2,listing_64725177,Sale,4,1,4 bed detached house for sale,"£700,000","Hawtrey Drive, Ruislip HA4",Coopers Residential - Ruislip,https://www.zoopla.co.uk/for-sale/details/64725177/?search_identifier=debab105955e7c668e7c9ba2fda9102b95760db5ce94a4ac5764aa4acaf4180e,HA4,Hillingdon,2023-05-28
3,3,listing_64719631,Sale,3,1,3 bed semi-detached house for sale,"£700,000","Whitby Road, Ruislip Manor, Ruislip HA4",Parkfields Estates Ltd,https://www.zoopla.co.uk/for-sale/details/64719631/?search_identifier=debab105955e7c668e7c9ba2fda9102b95760db5ce94a4ac5764aa4acaf4180e,HA4,Hillingdon,2023-05-28
4,4,listing_64716781,Sale,3,2,3 bed semi-detached house for sale,"£700,000","Cavendish Avenue, South Ruislip HA4",Robert Cooper & Co,https://www.zoopla.co.uk/for-sale/details/64716781/?search_identifier=debab105955e7c668e7c9ba2fda9102b95760db5ce94a4ac5764aa4acaf4180e,HA4,Hillingdon,2023-05-28
5,5,listing_64705113,Sale,3,1,3 bed semi-detached house for sale,"£700,000","Sunningdale Avenue, Ruislip HA4",Gibson Honey â Ruislip Manor,https://www.zoopla.co.uk/for-sale/details/64705113/?search_identifier=debab105955e7c668e7c9ba2fda9102b95760db5ce94a4ac5764aa4acaf4180e,HA4,Hillingdon,2023-05-28
6,6,listing_64704630,Sale,2,2,2 bed flat for sale,"£700,000","Field End Road, Eastcote HA4",Robert Cooper & Co,https://www.zoopla.co.uk/for-sale/details/64704630/?search_identifier=debab105955e7c668e7c9ba2fda9102b95760db5ce94a4ac5764aa4acaf4180e,HA4,Hillingdon,2023-05-28
7,7,listing_64700858,Sale,2,2,2 bed detached house for sale,"£700,000","Kingswear Road, Ruislip, Middlesex HA4",Lawrence Rand - Ruislip,https://www.zoopla.co.uk/for-sale/details/64700858/?search_identifier=debab105955e7c668e7c9ba2fda9102b95760db5ce94a4ac5764aa4acaf4180e,HA4,Hillingdon,2023-05-28
8,8,listing_64699746,Sale,2,1,2 bed property for sale,"£700,000","Breakspear Road, Ruislip HA4",GibsonHoney,https://www.zoopla.co.uk/for-sale/details/64699746/?search_identifier=debab105955e7c668e7c9ba2fda9102b95760db5ce94a4ac5764aa4acaf4180e,HA4,Hillingdon,2023-05-28
9,9,listing_64695123,Sale,3,1,3 bed end terrace house for sale,"£700,000","Filey Waye, Ruislip Manor, Ruislip HA4",Coopers Residential - Ruislip Manor,https://www.zoopla.co.uk/for-sale/details/64695123/?search_identifier=debab105955e7c668e7c9ba2fda9102b95760db5ce94a4ac5764aa4acaf4180e,HA4,Hillingdon,2023-05-28
10,10,listing_64688094,Sale,3,1,3 bed semi-detached house for sale,"£700,000","Ardley Close, Ruislip, Middlesex HA4",Gibbs Gillespie - Ruislip,https://www.zoopla.co.uk/for-sale/details/64688094/?search_identifier=debab105955e7c668e7c9ba2fda9102b95760db5ce94a4ac5764aa4acaf4180e,HA4,Hillingdon,2023-05-28
