,index,Result_id,Transaction_type,Bedroom,Bathroom,Property_type,Price,Location,Agent,Listing_url,postcode,Borough,Date
0,0,listing_64727572,Sale,1,1,1 bed flat for sale,"£350,000","Borough Road, Osterley, Isleworth TW7",Dexters - Isleworth,https://www.zoopla.co.uk/for-sale/details/64727572/?search_identifier=11fa2c355dc1e3f5d4e2bad75fd90baf5d0ac2b8709749c9cbaea518398b3002,TW7,Hounslow,2023-05-28
1,1,listing_64725937,Sale,5,5,5 bed semi-detached house for sale,"£350,000","Church Street, Isleworth TW7",The Property Partnership,https://www.zoopla.co.uk/for-sale/details/64725937/?search_identifier=11fa2c355dc1e3f5d4e2bad75fd90baf5d0ac2b8709749c9cbaea518398b3002,TW7,Hounslow,2023-05-28
2,2,listing_64723540,Sale,4,1,4 bed land for sale,"£350,000","Hall Road, Isleworth TW7",Stirling Ackroyd - Whitton,https://www.zoopla.co.uk/for-sale/details/64723540/?search_identifier=11fa2c355dc1e3f5d4e2bad75fd90baf5d0ac2b8709749c9cbaea518398b3002,TW7,Hounslow,2023-05-28
3,3,listing_49369851,Sale,3,1,3 bed terraced house for sale,"£350,000","Oakley Close, Isleworth TW7",Stewart Hunter,https://www.zoopla.co.uk/for-sale/details/49369851/?search_identifier=11fa2c355dc1e3f5d4e2bad75fd90baf5d0ac2b8709749c9cbaea518398b3002,TW7,Hounslow,2023-05-28
4,4,listing_64719568,Sale,3,1,3 bed terraced house for sale,"£350,000","Smallberry Avenue, Isleworth TW7",Dexters - Isleworth,https://www.zoopla.co.uk/for-sale/details/64719568/?search_identifier=11fa2c355dc1e3f5d4e2bad75fd90baf5d0ac2b8709749c9cbaea518398b3002,TW7,Hounslow,2023-05-28
5,5,listing_64719381,Sale,6,5,6 bed town house for sale,"£350,000","Egerton Drive, Isleworth TW7",JLL - Kensington,https://www.zoopla.co.uk/for-sale/details/64719381/?search_identifier=11fa2c355dc1e3f5d4e2bad75fd90baf5d0ac2b8709749c9cbaea518398b3002,TW7,Hounslow,2023-05-28
6,6,listing_64719151,Sale,4,2,4 bed property for sale,"£350,000","Borough Road, Osterley, Isleworth TW7",Oakhill,https://www.zoopla.co.uk/for-sale/details/64719151/?search_identifier=11fa2c355dc1e3f5d4e2bad75fd90baf5d0ac2b8709749c9cbaea518398b3002,TW7,Hounslow,2023-05-28
7,7,listing_64702502,Sale,4,2,4 bed semi-detached house for sale,"£350,000","Harewood Road, Isleworth TW7",Dexters - Isleworth,https://www.zoopla.co.uk/for-sale/details/64702502/?search_identifier=11fa2c355dc1e3f5d4e2bad75fd90baf5d0ac2b8709749c9cbaea518398b3002,TW7,Hounslow,2023-05-28
8,8,listing_64700892,Sale,1,1,1 bed flat for sale,"£350,000","Hepple Close, Isleworth TW7","Chase Buchanan, Isleworth",https://www.zoopla.co.uk/for-sale/details/64700892/?search_identifier=11fa2c355dc1e3f5d4e2bad75fd90baf5d0ac2b8709749c9cbaea518398b3002,TW7,Hounslow,2023-05-28
9,9,listing_64694882,Sale,2,,2 bed flat for sale,"£350,000","Banks House, Isleworth, London TW7",So Resi - Resale,https://www.zoopla.co.uk/for-sale/details/64694882/?search_identifier=11fa2c355dc1e3f5d4e2bad75fd90baf5d0ac2b8709749c9cbaea518398b3002,TW7,Hounslow,2023-05-28
10,10,listing_64691049,Sale,1,1,1 bed flat for sale,"£350,000","Aldington House, Frazer Nash Close, Isleworth TW7",Stamfords Ltd,https://www.zoopla.co.uk/for-sale/details/64691049/?search_identifier=11fa2c355dc1e3f5d4e2bad75fd90baf5d0ac2b8709749c9cbaea518398b3002,TW7,Hounslow,2023-05-28
11,11,listing_64690956,Sale,2,1,2 bed flat for sale,"£350,000","Lanadron Close, Isleworth TW7","Chase Buchanan, Isleworth",https://www.zoopla.co.uk/for-sale/details/64690956/?search_identifier=11fa2c355dc1e3f5d4e2bad75fd90baf5d0ac2b8709749c9cbaea518398b3002,TW7,Hounslow,2023-05-28
12,12,listing_64689338,Sale,2,1,2 bed flat for sale,"£350,000","Whitton Dene, Isleworth TW7","Chase Buchanan, Isleworth",https://www.zoopla.co.uk/for-sale/details/64689338/?search_identifier=11fa2c355dc1e3f5d4e2bad75fd90baf5d0ac2b8709749c9cbaea518398b3002,TW7,Hounslow,2023-05-28
13,13,listing_64685529,Sale,1,1,1 bed flat for sale,"£350,000","Oliver Court, The Maltings, Isleworth TW7",Xavi & Co Ltd,https://www.zoopla.co.uk/for-sale/details/64685529/?search_identifier=11fa2c355dc1e3f5d4e2bad75fd90baf5d0ac2b8709749c9cbaea518398b3002,TW7,Hounslow,2023-05-28
14,14,listing_64685530,Sale,1,1,1 bed flat for sale,"£350,000","Alcott House, The Maltings, Isleworth TW7",Xavi & Co Ltd,https://www.zoopla.co.uk/for-sale/details/64685530/?search_identifier=11fa2c355dc1e3f5d4e2bad75fd90baf5d0ac2b8709749c9cbaea518398b3002,TW7,Hounslow,2023-05-28
15,15,listing_64680820,Sale,2,2,2 bed property for sale,"£350,000","Pulteney Close, Isleworth TW7",Snellers - St Margarets,https://www.zoopla.co.uk/for-sale/details/64680820/?search_identifier=11fa2c355dc1e3f5d4e2bad75fd90baf5d0ac2b8709749c9cbaea518398b3002,TW7,Hounslow,2023-05-28
16,16,listing_64680788,Sale,1,1,1 bed flat for sale,"£350,000","White Lodge Close, Isleworth TW7",Snellers - St Margarets,https://www.zoopla.co.uk/for-sale/details/64680788/?search_identifier=11fa2c355dc1e3f5d4e2bad75fd90baf5d0ac2b8709749c9cbaea518398b3002,TW7,Hounslow,2023-05-28
17,17,listing_64679708,Sale,2,1,2 bed property for sale,"£350,000","Tolson Road, Isleworth TW7","Chase Buchanan, Isleworth",https://www.zoopla.co.uk/for-sale/details/64679708/?search_identifier=11fa2c355dc1e3f5d4e2bad75fd90baf5d0ac2b8709749c9cbaea518398b3002,TW7,Hounslow,2023-05-28
18,18,listing_64679383,Sale,2,1,2 bed maisonette for sale,"£350,000","Northumberland Gardens, Isleworth TW7",Anthony James Manser,https://www.zoopla.co.uk/for-sale/details/64679383/?search_identifier=11fa2c355dc1e3f5d4e2bad75fd90baf5d0ac2b8709749c9cbaea518398b3002,TW7,Hounslow,2023-05-28
19,19,listing_64678327,Sale,1,1,1 bed flat for sale,"£350,000","London Road, Isleworth TW7",J W & SONS,https://www.zoopla.co.uk/for-sale/details/64678327/?search_identifier=11fa2c355dc1e3f5d4e2bad75fd90baf5d0ac2b8709749c9cbaea518398b3002,TW7,Hounslow,2023-05-28
20,20,listing_64674997,Sale,2,1,2 bed flat for sale,"£350,000","Malting Way, Isleworth TW7",Snellers - St Margarets,https://www.zoopla.co.uk/for-sale/details/64674997/?search_identifier=11fa2c355dc1e3f5d4e2bad75fd90baf5d0ac2b8709749c9cbaea518398b3002,TW7,Hounslow,2023-05-28
21,21,listing_64674652,Sale,3,1,3 bed town house for sale,"£350,000","Aplin Way, Isleworth TW7",DBK Estate Agents - Hounslow,https://www.zoopla.co.uk/for-sale/details/64674652/?search_identifier=11fa2c355dc1e3f5d4e2bad75fd90baf5d0ac2b8709749c9cbaea518398b3002,TW7,Hounslow,2023-05-28
22,22,listing_64670874,Sale,2,1,2 bed flat for sale,"£350,000","Lanadron Close, Isleworth TW7",Woodland,https://www.zoopla.co.uk/for-sale/details/64670874/?search_identifier=11fa2c355dc1e3f5d4e2bad75fd90baf5d0ac2b8709749c9cbaea518398b3002,TW7,Hounslow,2023-05-28
23,23,listing_64668927,Sale,2,2,2 bed flat for sale,"£350,000","Academy Place, Osterley, Isleworth TW7",Shaw & Co,https://www.zoopla.co.uk/for-sale/details/64668927/?search_identifier=11fa2c355dc1e3f5d4e2bad75fd90baf5d0ac2b8709749c9cbaea518398b3002,TW7,Hounslow,2023-05-28
24,24,listing_64668238,Sale,2,1,2 bed terraced house for sale,"£350,000","Tolson Road, Isleworth TW7",Anthony James Manser,https://www.zoopla.co.uk/for-sale/details/64668238/?search_identifier=11fa2c355dc1e3f5d4e2bad75fd90baf5d0ac2b8709749c9cbaea518398b3002,TW7,Hounslow,2023-05-28
25,25,listing_64663856,Sale,1,1,1 bed flat for sale,"£300,000","White Lodge Close, Isleworth TW7",Oakhill,https://www.zoopla.co.uk/for-sale/details/64663856/?search_identifier=8e811ec795d5e15c3233f4e5a7ed953ddc79e76702794a8cb2e6ea2357adeca8,TW7,Hounslow,2023-05-28
26,26,listing_64660139,Sale,2,2,2 bed flat for sale,"£300,000","Primrose Place, Isleworth TW7",Oakhill,https://www.zoopla.co.uk/for-sale/details/64660139/?search_identifier=8e811ec795d5e15c3233f4e5a7ed953ddc79e76702794a8cb2e6ea2357adeca8,TW7,Hounslow,2023-05-28
27,27,listing_64659072,Sale,2,2,2 bed flat for sale,"£300,000","Hillary Drive, Isleworth TW7",Snellers - St Margarets,https://www.zoopla.co.uk/for-sale/details/64659072/?search_identifier=8e811ec795d5e15c3233f4e5a7ed953ddc79e76702794a8cb2e6ea2357adeca8,TW7,Hounslow,2023-05-28
